"att_1","att_2","att_3","att_4","att_5","att_6","att_7","att_8","att_9","att_10","att_11","att_12","att_13","att_14","att_15","att_16","att_17","att_18","att_19","att_20","att_21","att_22","class"
0.064284,-0.000885,0.000072,-0.263788,0.003891,-0.000029,0.108449,-0.000575,0.000011,1,,0.797863,0.509888,,0.1,0.532533,0.149772,0.285714,0.165124,0.000743,,,-1
0.041428,-0.003728,0.001009,-0.019577,0.001843,-0.000046,0.000989,-0.000033,0.000002,1,0.803381,,0.096755,0.1,0.1,0.566595,0.323102,0.4,0.398471,0.025211,,,-1
0.035714,-0.006948,0.00396,-0.290222,0.059114,-0.003128,0.233714,-0.016901,0.002318,1,,0.737647,0.507258,,0.1,0.538384,0.321141,0.5,0.157092,0.000609,,,-1
0.034285,-0.00541,0.002529,-0.022105,0.003653,-0.000157,0.001466,-0.000085,0.000009,1,0.780763,,0.09732,0.1,,0.550023,0.373554,0.2,0.319335,0.010399,,,-1
0.112857,-0.009484,0.002335,-0.114113,0.010015,-0.000228,0.011546,-0.000358,0.000021,1,0.843458,0.852861,0.298077,0.1,0.3,0.557624,0.141051,0.111111,0.288033,0.006883,,,-1
0.058573,-0.011522,0.006625,-0.06219,0.012857,-0.000684,0.006667,-0.000487,0.000067,1,0.847837,0.83016,0.223237,0.1,0.1,0.553535,0.19858,0.142857,0.272471,0.005512,,,-1
0.02,-0.019399,0.054068,-0.167769,0.169778,-0.04396,0.139,-0.049972,0.033546,1,,,1,,,0.580299,0.596903,0.333333,0.137489,0.000357,,,-1
0.059999,-0.019451,0.018151,-0.330244,0.111788,-0.009692,0.179644,-0.021605,0.004857,1,,0.797664,0.506492,,0.1,0.559873,0.217197,0.166667,0.134819,0.00033,,,-1
0.03857,-0.018566,0.025747,-0.082856,0.041666,-0.005363,0.017725,-0.003164,0.001055,1,0.775359,,0.098453,0.1,,0.588565,0.335103,0.2,0.203443,0.001713,,,-1
0.147145,-0.021212,0.008932,-0.01712,0.002549,-0.000098,0.00027,-0.000014,0.000001,1,0.859492,,0.098042,0.2,,0.567106,0.108607,0.1,0.249517,0.003876,,,-1
0.082856,-0.023614,0.019321,-0.208306,0.061786,-0.004691,0.051822,-0.005455,0.001073,1,0.774665,0.797064,0.649941,0.1,0.2,0.56442,0.180997,,0.206844,0.001831,,,-1
0.031428,-0.029046,0.077164,-0.232968,0.22454,-0.055405,0.170389,-0.058329,0.037306,1,,,0.13536,0.1,,0.538581,0.235374,0.25,0.141452,0.0004,,,-1
0.034286,-0.023709,0.047646,-0.035034,0.025538,-0.004763,0.003645,-0.000943,0.000456,1,0.794761,,0.098154,,,0.523019,0.294524,0.4,0.162783,0.000702,,,-1
0.029999,-0.02361,0.053774,-0.032056,0.026467,-0.005591,0.003513,-0.001029,0.000562,1,0.849558,,0.098019,0.1,,0.565181,0.300756,0.2,0.174752,0.000933,,,-1
0.020001,-0.034407,0.171725,-0.060002,0.108745,-0.050414,0.018212,-0.011724,0.014088,1,,,1,,,0.520647,0.451344,0.333333,0.160243,0.000659,,,-1
0.029999,-0.041969,0.170877,-0.030655,0.045316,-0.017137,0.003443,-0.001807,0.001771,1,,,1,,,0.574491,0.361994,0.5,0.167669,0.00079,,,-1
0.048571,-0.036337,0.079025,-0.075623,0.059675,-0.012047,0.012022,-0.003367,0.001761,1,0.796586,,0.097179,0.1,,0.538339,0.23866,0.2,0.193794,0.00141,,,-1
0.068573,-0.041631,0.073156,-0.399747,0.254942,-0.041612,0.231676,-0.05248,0.022203,1,0.831351,0.833085,0.135388,,0.1,0.530732,0.193416,0.333333,0.139727,0.000381,,,-1
0.097145,-0.034474,0.035484,-0.142967,0.053325,-0.005092,0.021044,-0.002785,0.000688,1,0.816117,0.737134,0.097664,0.2,0.1,0.578354,0.183042,0.375,0.193433,0.0014,,,-1
0.278568,-0.020856,0.004582,-0.066043,0.005228,-0.000106,0.001652,-0.000046,0.000002,1,0.842484,0.798224,0.097273,0.2,0.1,0.57299,0.0561,,0.290533,0.007125,,,-1
0.084285,-0.03881,0.052116,-0.072952,0.035629,-0.004453,0.006487,-0.001127,0.000366,1,0.856442,,0.09738,0.2,,0.565336,0.184328,0.375,0.182109,0.0011,,,-1
0.074283,-0.014806,0.00874,-0.001813,0.000352,-0.000017,0.000024,-0.000002,0,1,0.852633,,0.096873,0.3,,0.614765,0.125049,0.166667,0.178189,0.001008,0.5,,-1
0.042857,-0.033898,0.078898,-0.289206,0.244252,-0.052804,0.197125,-0.059133,0.033136,1,0.836735,0.740889,0.99639,0.1,0.1,0.517407,0.307748,0.166667,0.133802,0.000321,,,-1
0.028571,-0.04539,0.210474,-0.324593,0.546548,-0.235437,0.369704,-0.221143,0.246964,1,0.738269,,0.097476,0.1,,0.550632,0.493308,0.333333,0.106425,0.000128,,,-1
0.139998,-0.023324,0.011494,-0.006667,0.001144,-0.00005,0.000073,-0.000004,0.000001,1,0.835029,,0.096895,0.3,,0.57026,0.092154,0.153846,0.201834,0.001659,0.166667,,-1
